model,auc,f1,mcc,accuracy,n_runs
LogisticRegression,0.9999651931778628,0.9883720930232558,0.9766713683960033,0.9882005899705014,1
RandomForest,0.8715280194918205,0.6506849315068494,0.41571573574503445,0.6991150442477876,1
GradientBoosting,0.9009049773755655,0.7330960854092526,0.5951098337580174,0.7787610619469026,1
SVM_RBF,0.9993386703793943,0.9912536443148688,0.9824537186902323,0.9911504424778761,1
ST-GNN (mean over folds×seeds),0.6646216076532819,0.7682487502188333,0.5,0.7516400299388015,10
"ST-GNN (permutation baseline, mean)",0.5838542965330296,0.6706218755470831,0.0,0.5044688064104258,10
