auc,f1,mcc,accuracy,best_val_loss,n_epochs,fold,seed
1.0,1.0,1.0,1.0,4.4803602971686195e-06,18,0,42
0.0,0.6679764243614931,0.0,0.5014749262536873,0.8341060565636221,17,0,44
1.0,1.0,1.0,1.0,1.676313326669539e-06,19,0,7
0.006822137138879216,0.0,0.0,0.49852507374631266,0.521413838441393,23,0,123
0.5,0.6679764243614931,0.0,0.5014749262536873,0.8727725744247437,17,0,2026
0.4586452762923351,0.6732673267326733,0.0,0.5074626865671642,0.871287372357705,18,1,42
1.0,1.0,1.0,1.0,2.50339189733495e-06,17,1,44
1.0,1.0,1.0,1.0,3.695130540643945e-06,17,1,7
0.6807486631016043,0.6732673267326733,0.0,0.5074626865671642,0.7440887502011131,16,1,123
1.0,1.0,1.0,1.0,1.9143590045988436e-06,21,1,2026
